Nickname,Team,Opponent,Position,Salary,FPPG,FD Value,Projected Ownership,ID,FD Ceiling,First Name,Last Name,Played,Game,Injury Indicator,Injury Details,Tier,Roster Position
Charlie Woerner,SF,CHI,TE,4200,0.2,-6.2,0,78867-71351,2.9,,,,,,,,
Tylan Wallace,BAL,NYJ,WR,4600,0.8,-6.3,0,78867-87515,4,,,,,,,,
Tyron Johnson,LV,LAC,WR,4500,0.6,-6.3,0,78867-60705,3.5,,,,,,,,
Salvon Ahmed,MIA,NE,RB,4500,0.6,-6.3,0,78867-86780,3.3,,,,,,,,
Terrace Marshall Jr.,CAR,CLE,WR,5000,1.5,-6.4,0,78867-85672,4,,,,,,,,
Danny Gray,SF,CHI,WR,4600,0.7,-6.4,0,78867-136970,3.5,,,,,,,,
Trestan Ebner,CHI,SF,RB,4600,0.6,-6.5,0,78867-89209,2.4,,,,,,,,
Jalen Reagor,MIN,GB,WR,4800,1.1,-6.5,0,78867-94625,3.7,,,,,,,,
Zach Pascal,PHI,DET,WR,4900,1.3,-6.5,0,78867-53390,4.6,,,,,,,,
Deon Jackson,IND,HOU,RB,4500,0.3,-6.6,0,78867-93134,2.8,,,,,,,,
Snoop Conner,JAX,WAS,RB,4800,0.9,-6.6,0,78867-102729,3.4,,,,,,,,
Kene Nwangwu,MIN,GB,RB,4600,0.5,-6.6,0,78867-73247,2.5,,,,,,,,
Jalen Nailor,MIN,GB,WR,4600,0.5,-6.6,0,78867-92859,3,,,,,,,,
Chris Evans,CIN,PIT,RB,4900,1,-6.7,0,78867-73130,3.7,,,,,,,,
DeAndre Carter,LAC,LV,WR,4700,0.6,-6.7,0,78867-62628,4.2,,,,,,,,
Trent Sherfield,MIA,NE,WR,4600,0.4,-6.7,0,78867-56059,3.3,,,,,,,,
Deonte Harty,NO,ATL,WR,4700,0.7,-6.7,0,78867-104176,3.5,,,,,,,,
Ray-Ray McCloud III,SF,CHI,WR,4700,0.6,-6.7,0,78867-62055,3.4,,,,,,,,
Hassan Haskins,TEN,NYG,RB,4900,1.1,-6.7,0,78867-91361,3.4,,,,,,,,
Patrick Ricard,BAL,NYJ,RB,4500,0.1,-6.8,0,78867-80299,2.5,,,,,,,,
Demarcus Robinson,BAL,NYJ,WR,4900,1,-6.8,0,78867-38264,4.2,,,,,,,,
Myles Gaskin,MIA,NE,RB,4900,0.9,-6.8,0,78867-60930,3.8,,,,,,,,
Ty Johnson,NYJ,BAL,RB,4800,0.7,-6.8,0,78867-63050,3,,,,,,,,
Tyrion Davis-Price,SF,CHI,RB,4900,0.9,-6.8,0,78867-102893,2.9,,,,,,,,
Erik Ezukanma,MIA,NE,WR,4600,0.2,-6.9,0,78867-86543,3.1,,,,,,,,
Quintez Cephus,DET,PHI,WR,4800,0.5,-7,0,78867-71957,3,,,,,,,,
Dax Milne,WAS,JAX,WR,4600,0.1,-7,0,78867-90408,2.6,,,,,,,,
Darrel Williams,ARI,KC,RB,5400,1.5,-7.2,0,78867-52897,3.7,,,,,,,,
Craig Reynolds,DET,PHI,RB,4800,0.3,-7.2,0,78867-104424,3,,,,,,,,
Royce Freeman,HOU,IND,RB,5100,0.8,-7.3,0,78867-55970,3.4,,,,,,,,
Matt Breida,NYG,TEN,RB,5400,1.4,-7.3,0,78867-53303,4,,,,,,,,
Alexander Mattison,MIN,GB,RB,6000,2.4,-7.5,0,78867-72776,4.9,,,,,,,,
Benny Snell Jr.,PIT,CIN,RB,5200,0.6,-7.7,0,78867-70889,2.5,,,,,,,,
Tony Jones Jr.,NO,ATL,RB,5000,0.1,-7.8,0,78867-73121,2.6,,,,,,,,
D'Ernest Johnson,CLE,CAR,RB,5400,0.8,-7.9,0,78867-57543,2.6,,,,,,,,
Chuba Hubbard,CAR,CLE,RB,5500,0.9,-8,0,78867-87467,3.5,,,,,,,,
Taysom Hill,NO,ATL,QB,6200,3.5,-9.7,0,78867-45565,7,,,,,,,,
